brand;name;price;reference;collection;caseSize;caseMaterial;movement;caliber;powerReserve;dateAdded;dialColor;caseSize;caseMaterial;caseBack;strapMaterial;strapColor;buckleType;specialFeatures;specialFeatures2;gender;video;thumbnails;images
1;Grand Complications Grandmaster Chime;2,813,360 USD;6300GR-001;Grand Complications;47.70mm;Two-Tone;Manual;300 GS AL 36_750 QIS FUS IRM, In-house;72 hours;March 31, 2023;Brown;47.70mm;Two-Tone;Open;Alligator;Brown;Folding Clasp;Humidity- and dust-protected only;;1;https://static.patek.com/videos/articles/6300GR_001/PP_6300GR_001_desktop-banner.mp4;6;6
1;Grand Complications MInute Repeater, World Time;649,320 USD;5531G-001;Grand Complications;40.20mm;White Gold;Automatic;R 27 HU, In-house;48 hours;March 31, 2023;Artistic Dial;40.20mm;White Gold;Open;Alligator;Blue;Folding Clasp;Humidity- and dust-protected only;;1;https://static.patek.com/videos/articles/5531G_001/PP_5531G_001_desktop-banner.mp4;8;8
1;Calatrava Pilot Travel Time Chronograph;71,650 USD;5924G-010;Complications;42mm;White Gold;Automatic;CH 28_520 C FUS, In-house;55 hours;March 31, 2023;Green;42mm;White Gold;Open;Leather;Green;Pin;Water resistance 30m/3 bar;;1;https://static.patek.com/videos/articles/5924G_010/PP_5924G_010_desktop-banner.mp4;7;7
1;Grand Complications In-Line Perpetual Calendar;133,220 USD;5236P-001;Grand Complications;41.3mm;Platinum;Automatic;31-260 PS QL, In-house;38 hours;April 12, 2021;Blue;41.3mm;Platinum;Open;Alligator;Blue;Folding Clasp;Water resistance 30m/3 bar;;1;https://static.patek.com/videos/articles/5236P_001/PP_5236P_8ips_1920x770.mp4;7;7
1;Gondolo Serata;38,060 USD;4962/200R-001;Gondolo;28.6 x 40.85mm;Rose Gold;Quartz;E 15, In-house;46 hours;March 31, 2023;Lacquered;40.5mm;Rose Gold;Leather;Brown;Pin;;Water resistance 30m/3 bar;94 spessartites �cognac� to �mandarine� tones: 2.02 cts.;2;https://static.patek.com/videos/articles/4962_200R_001/PP_4962_200R_001_desktop-banner.mp4;8;8
1;Aquanaut Luce Travel Time;40,860 USD;5269/200R-001;Aquanaut;38.8mm;Rose Gold;Quartz;E 23-250 S FUS 24H, In-house;47 hours;May 27, 2021;Yes;40.5mm;Rose Gold;Rubber;White;Folding Clasp;;Water resistance 60m/6 bar;48 diamonds;2;https://static.patek.com/videos/articles/5269_200R_001/PP_5269_200R_001_8mbs_HD-Horizontal_1920x770_21052021.mp4;8;8
2;Casino Roulette Tourbillon;280,000 USD;CA100.40.AA.AA.ABALA;Casino;44mm;Rose Gold;Manual;JCAM51, In-house;72 hours;February 28, 2023;Black;44mm;Rose Gold;Closed;Alligator;Black;;Water resistance 30m/3 bar;;1;https://youtu.be/E1uyfU2a3yc?si=ovhV4cFUCsu319oT;3;3
2;Opera Godfather 50th Anniversary;500,000 USD;OP110.30.AA.AA.ABALA;Opera;49mm;White Gold;Manual;JCFM04, In-house;42 hours;November 9, 2022;Black;49mm;White Gold;Closed;Alligator;Black;;Water resistance 30m/3 bar;;1;https://youtu.be/hGjPWP8Nbaw?si=7Tp-p0oxyZmwoC22;8;8
2;Bugatti Chiron Tourbillon;313,470 USD;AF321.40.BA.AD.ABSAA;Bugatti;54 X 44mm;Titanium;Manual;JCAM37, In-house;60 hours;April 15, 2020;Skeletonized;49mm;Titanium;Open;Rubber;Black;Folding Clasp;Water resistance 30m/3 bar;;1;https://youtu.be/zz4-1D3EmjQ?si=vCTrJQ1jNNRu2e9B;5;5
2;Astronomia Sky Sapphire;680,000 USD;AT113.40.AA.AA.A;Astronomia;47mm;Sapphire;Manual;JCAM41, In-house;60 hours;December 1, 2020;Blue;47mm;Sapphire;Open;Alligator;Blue;;Water resistance 30m/3 bar;;1;https://youtu.be/BHrg8_9RGnk?si=Tz26383XNrZsxQHy;6;6
3;Sky-Dweller;42,650 USD;326238-0009;Sky-Dweller;42mm;Yellow Gold;Automatic;9001, In-house;72 hours;September 6, 2020;Black;42mm;Yellow Gold;Closed;Rubber;Black;Folding Clasp;Water resistance 100m/10 bar;;1;https://youtu.be/u9AN4BgR5hU?si=GxK0ViuYzYfB5asa;8;8
4;Royal Oak Concept Tourbillon Spider-Man;0;26631IO.OO.D002CA.01;Royal Oak Concept;42mm;Titanium;Manual;2974, In-house;72 hours;May 26, 2023;Artistic Dial;42mm;Titanium;Open;Rubber;Black Interchangeable;;Water resistance 100m/10 bar;;1;https://youtu.be/RjEyB73cJbg;6;6
4;Royal Oak Offshore Selfwinding Music Edition;0;77601BC.YY.D343CA.01;Royal Oak Offshore;37mm;White Gold;Automatic;5909, In-house;60 hours;July 1, 2022;Artistic Dial;37mm;White Gold;;Rubber;Blue Interchangeable;;Water resistance 50m/5 bar;;1;https://youtu.be/8tZl9LZsyXk?si=dLz4M_4OabTbL3hi;6;6
4;Code 11.59 by Audemars Piguet Selfwinding;0;15210OR.ZZ.D208CR.01;Code 11.59 by Audemars Piuguet;41mm;Rose Gold;Automatic;4309, In-house;70 hours;January 27, 2022;Gold;41mm;Rose Gold;;Alligator;Beige;;Water resistance 30m/3 bar;;2;https://youtu.be/AqlU4s0JRm8?si=Ifd3zXHOcKgoCHT_;5;5
